2021/10/26,12:19:17,turn_leftt,0000/00/00,00:00:00
2021/10/26,12:19:17,stop,0000/00/00,00:00:00
2021/10/26,12:19:21,move_forward,0000/00/00,00:00:00
2021/10/26,12:19:22,stop,0000/00/00,00:00:00
2021/10/26,12:19:22,move_back,0000/00/00,00:00:00
2021/10/26,12:19:22,stop,0000/00/00,00:00:00
2021/10/26,12:19:22,move_back,0000/00/00,00:00:00
2021/10/26,12:19:22,stop,0000/00/00,00:00:00
2021/10/26,12:19:23,turn_right,0000/00/00,00:00:00
2021/10/26,12:19:23,stop,0000/00/00,00:00:00
2021/10/26,12:19:24,turn_leftt,0000/00/00,00:00:00
2021/10/26,12:19:24,stop,0000/00/00,00:00:00
2021/10/26,12:19:24,turn_leftt,0000/00/00,00:00:00
2021/10/26,12:19:24,stop,0000/00/00,00:00:00
2021/10/26,12:19:24,turn_leftt,0000/00/00,00:00:00
2021/10/26,12:19:24,stop,0000/00/00,00:00:00
2021/10/26,12:19:29,stop,0000/00/00,00:00:00
2021/10/26,12:19:51,move_forward,0000/00/00,00:00:00
2021/10/26,12:19:51,stop,0000/00/00,00:00:00
2021/10/26,12:19:54,move_back,0000/00/00,00:00:00
2021/10/26,12:19:56,stop,0000/00/00,00:00:00
2021/10/26,12:19:57,turn_right,0000/00/00,00:00:00
2021/10/26,12:19:59,stop,0000/00/00,00:00:00
2021/10/26,12:20:01,stop,0000/00/00,00:00:00
2021/10/26,12:20:02,turn_leftt,0000/00/00,00:00:00
2021/10/26,12:20:03,stop,0000/00/00,00:00:00
2021/10/26,12:21:16,stop,0000/00/00,00:00:00
2021/10/26,12:21:17,stop,0000/00/00,00:00:00
2021/10/26,12:21:18,stop,0000/00/00,00:00:00
2021/10/26,12:21:18,stop,0000/00/00,00:00:00
2021/10/26,12:21:18,stop,0000/00/00,00:00:00
2021/10/26,12:21:19,stop,0000/00/00,00:00:00
2021/10/26,12:21:19,stop,0000/00/00,00:00:00
2021/10/26,12:21:50,stop,0000/00/00,00:00:00
2021/10/26,12:21:50,stop,0000/00/00,00:00:00
2021/10/26,12:21:50,stop,0000/00/00,00:00:00
2021/10/26,12:21:50,stop,0000/00/00,00:00:00
2021/10/26,12:21:51,stop,0000/00/00,00:00:00
2021/10/26,12:21:51,stop,0000/00/00,00:00:00
2021/10/26,12:21:51,stop,0000/00/00,00:00:00
2021/10/26,12:21:51,stop,0000/00/00,00:00:00
2021/10/26,12:21:51,stop,0000/00/00,00:00:00
2021/10/26,12:21:52,stop,0000/00/00,00:00:00
2021/10/26,12:21:52,stop,0000/00/00,00:00:00
2021/10/26,12:21:54,move_forward,0000/00/00,00:00:00
2021/10/26,12:21:55,stop,0000/00/00,00:00:00
2021/10/26,12:21:55,move_forward,0000/00/00,00:00:00
2021/10/26,12:21:56,stop,0000/00/00,00:00:00
2021/10/26,12:21:56,move_back,0000/00/00,00:00:00
2021/10/26,12:21:56,stop,0000/00/00,00:00:00
2021/10/26,12:21:57,turn_right,0000/00/00,00:00:00
2021/10/26,12:21:58,stop,0000/00/00,00:00:00
2021/10/26,12:22:00,turn_leftt,0000/00/00,00:00:00
2021/10/26,12:22:01,stop,0000/00/00,00:00:00
